,categoryId,channelId,channelTitle,channel_subscriber_count,channel_video_count,channel_view_count,commentCount,defaultAudioLanguage,definition,description,dislikeCount,duration,favoriteCount,likeCount,liveBroadcastContent,localized,privacyStatus,projection,publicStatsViewable,publishedAt,regionRestriction,tags,title,v_id,viewCount
0,17,UC7w8GnTF2Sp3wldDMtCCtVw,FullTimeDEVILS,,,,418,,hd,"Sam spoke to us after Manchester United 1-1 Liverpool and tells us this is the reason that Zlatan exists, to score goals, have your say, comment below! 

Subscribe, FREE, for more MUFC: http://bit.ly/DEVILSsub
Subscribe to The Football Republic: http://bit.ly/1Nsw8Uq

Why Zlatan Exists! | Manchester United 1-1 Liverpool | FANCAM

About FullTimeDEVILS:
We are YouTube's largest football fan channel, made for Manchester United fans and bringing you big match previews, post-match reaction and reviews, tactical analysis, player debates and much more! If you're a red, we want you to get involved; whatever you want to say about United you can say it in the comments below. And to become one of our Devil pundits and be on the shows,here's how you can get in touch:
Twitter: https://twitter.com/FullTimeDEVILS
Facebook: https://www.facebook.com/FullTimeDEVILS
G+: https://plus.google.com/+FullTimeDevils",36,PT5M36S,0,1163,none,"{u'description': u'Sam spoke to us after Manchester United 1-1 Liverpool and tells us this is the reason that Zlatan exists, to score goals, have your say, comment below! 

Subscribe, FREE, for more MUFC: http://bit.ly/DEVILSsub
Subscribe to The Football Republic: http://bit.ly/1Nsw8Uq

Why Zlatan Exists! | Manchester United 1-1 Liverpool | FANCAM

About FullTimeDEVILS:
We are YouTube's largest football fan channel, made for Manchester United fans and bringing you big match previews, post-match reaction and reviews, tactical analysis, player debates and much more! If you're a red, we want you to get involved; whatever you want to say about United you can say it in the comments below. And to become one of our Devil pundits and be on the shows,here's how you can get in touch:
Twitter: https://twitter.com/FullTimeDEVILS
Facebook: https://www.facebook.com/FullTimeDEVILS
G+: https://plus.google.com/+FullTimeDevils', u'title': u'Why Zlatan Exists! | Manchester United 1-1 Liverpool | FANCAM'}",public,rectangular,True,2017-01-15T21:20:49.000Z,,"[Manchester United, Manchester, Man Utd, Football, fulltimedevils, Andy Tate, Full Time Devils, Manchester United News, Transfer News, United, Man United, Mourinho, MUFC, Man United transfer news, Liverpool, Liverpool FC, Scousers, Manchester United 1-1 Liverpool, Man United 1-1 Liverpool, United 1-1 Liverpool, 1-1, Premier League, Old Trafford, Jurgen Klopp, Klopp, Jose Mourinho, Zlatan Ibrahimovic goal, Zlatan goal, Matip, Coutinho, goals, goal, highlights, live stream, live, stream, vs]",Why Zlatan Exists! | Manchester United 1-1 Liverpool | FANCAM,LsiHaFUvmwI,35386
1,,,,325143,3883,121613952,,,,,,,,,,,,,,,,,,,
2,17,UCWw6scNyopJ0yjMu1SyOEyw,talkSPORT,,,,183,,hd,"►Subscribe here http://tlks.pt/Fans to get entertaining sports videos every week

►Follow us on Twitter and tell us what else you want to watch on talkSPORT's YouTube channel: http://tlks.pt/Twitter

►Like us on Facebook for loads of shareable sports stories: http://on.fb.me/HAm7Gn

⚽⚽⚽",17,PT3M14S,0,715,none,"{u'description': u'►Subscribe here http://tlks.pt/Fans to get entertaining sports videos every week

►Follow us on Twitter and tell us what else you want to watch on talkSPORT's YouTube channel: http://tlks.pt/Twitter

►Like us on Facebook for loads of shareable sports stories: http://on.fb.me/HAm7Gn

⚽⚽⚽', u'title': u'Manchester United v Liverpool | A Timeline'}",public,rectangular,True,2017-01-14T10:00:02.000Z,,"[talksport, sport, football, funny, soccer, Manchester United, Liverpool, Manchester UNited Liverpool, United Liverpool, Liverpool vs Manchester United, Manchester United vs Liverpool, Man United v Liverpool, Liverpool V Man United, steven gerrard, cristiano ronaldo, liverpool man united highlights, full match highlights, highlights, man united v liverpool highlights]",Manchester United v Liverpool | A Timeline,ZH-y2ZzEuFc,33630
3,,,,603556,1575,344362271,,,,,,,,,,,,,,,,,,,
4,22,UCQrlxwscx_mtWLFZg_bMGFg,Premierteam,,,,19,,hd,"Zlatan Ibrahimović is a Swedish professional footballer who plays as a striker for Manchester United. He primarily plays as a striker and is best known for his great heading ability, strength and immense shooting.
--------------------------------------------------------------------
Song: Slumberjack - Horus
--------------------------------------------------------------------
Second Channel: https://www.youtube.com/channel/UCCBgbETgFQjjaXN3Mqy3DLA
Facebook: https://www.facebook.com/Premierteam5
Twitter: https://twitter.com/Premierteam5
Contact: Messivscr7i@gmail.com
Special Thanks to: https://www.youtube.com/channel/UCfGoD84vfdQM9B2OlDThSyQ 
--------------------------------------------------------------------
This video contains all the 20 goals for Man Utd including his goal versus Liverpool

✖ Subscribe for more videos",5,PT4M24S,0,285,none,"{u'description': u'Zlatan Ibrahimović is a Swedish professional footballer who plays as a striker for Manchester United. He primarily plays as a striker and is best known for his great heading ability, strength and immense shooting.
--------------------------------------------------------------------
Song: Slumberjack - Horus
--------------------------------------------------------------------
Second Channel: https://www.youtube.com/channel/UCCBgbETgFQjjaXN3Mqy3DLA
Facebook: https://www.facebook.com/Premierteam5
Twitter: https://twitter.com/Premierteam5
Contact: Messivscr7i@gmail.com
Special Thanks to: https://www.youtube.com/channel/UCfGoD84vfdQM9B2OlDThSyQ 
--------------------------------------------------------------------
This video contains all the 20 goals for Man Utd including his goal versus Liverpool

✖ Subscribe for more videos', u'title': u'Zlatan Ibrahimovic ● All 20 Goals for MANCHESTER UNITED - 2016/17'}",public,rectangular,True,2017-01-15T18:16:41.000Z,,"[Ibra, ibrahimovic, zlatan, ibrahimovic goal, ibrahimovic manchester united, ibrahimovic goal vs Liverpool, ibrahimovic goal vs Liverpool 1-1, ibrahimovic all goals, ibrahimovic sunderland, ibrahimovic europa league, ibrahimovic goal west ham, ibrahimovic skills, ibrahimovic united, ibrahimovic vs, ibrahimovic vs fenerbahçe, ibrahimovic vs burnley, ibrahimovic vs man city, ibrahimovic 16/17, ibrahimovic 2017, ibrahimovic zorya, ibrahimovic everton]",Zlatan Ibrahimovic ● All 20 Goals for MANCHESTER UNITED - 2016/17,ofbaRS29ULI,13044
5,,,,23663,32,4709173,,,,,,,,,,,,,,,,,,,
6,17,UCcmYYg3Rzfg3x8HKG5FhbtA,sportsUwant,,,,15,,sd,SUBSCRIBE TO MY CHANNEL !,3,PT23M32S,0,27,none,"{u'description': u'SUBSCRIBE TO MY CHANNEL !', u'title': u'Manchester United 1:1 Liverpool Full Post Match Analysis | Sky sports | 01.15.2017'}",public,rectangular,True,2017-01-15T18:47:18.000Z,,"[PREMIER, LEAGUE, PRESS, CONFERENCE, MANCHESTER, UNITED, CHELSEA, LIVERPOOL, ARSENAL, CITY, JOSE, MOURINHO, PEP, GUARDIOLA, ARSENE, WENGER, ANTONIO, CONTE, JURGEN, KLOPP, INTERVIEW]",Manchester United 1:1 Liverpool Full Post Match Analysis | Sky sports | 01.15.2017,_5tKgyAOQDU,8862
7,,,,1184,59,1597342,,,,,,,,,,,,,,,,,,,
8,17,UCdfEuCGoVdDIbkiqC_RppgQ,iKhoStyle7i HD,,,,11,,hd,"Zlatan Ibrahimović All Goals | Manchester United 2016/2017 HD



Manchester United vs Liverpool 1-1 All Goals & Highlights Premier League 15/01/2017

Everton vs Manchester City 4-0 All Goals & Highlights Premier League 15/01/2017 HD

Manchester United vs Liverpool 1-1 All Goals & Highlights Manchester United vs Liverpool 1-1 All Goals & Highlights 
Manchester United vs Liverpool 1-1 All Goals & Highlights Manchester United vs Liverpool 1-1 All Goals & Highlights 
Manchester United vs Liverpool 1-1 All Goals & Highlights 
Zlatan Ibrahimović Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
Zlatan Ibrahimović Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
Zlatan Ibrahimović Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD

Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 All Goals 
Manchester United vs Liverpool 1-1 All Goals 
Manchester United vs Liverpool 1-1 All Goals 
James Milner Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
James Milner Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
James Milner Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
Goal Ibrahimovic Manchester United vs Liverpool 1-1 Goals & Highlights 15.01.2017
Goal Ibrahimovic Manchester United vs Liverpool 1-1 Goals & Highlights 15.01.2017
Goal Ibrahimovic Manchester United vs Liverpool 1-1 Goals & Highlights 15.01.2017
Manchester United 1-1 Liverpool All Goals & Extended Highlights Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Highlights 
Manchester United 1-1 Liverpool All Goals & Highlights 
Manchester United 1-1 Liverpool All Goals & Highlights 
Manchester United vs Liverpool 1-1 17/10/2016 HD
Manchester United vs Liverpool 1-1 17/10/2016 HD
Manchester United vs Liverpool 1-1 17/10/2016 HD
Manchester United vs Liverpool 1:1 2017 - All Goals & Highlights (Premier League) 15/01/2017 HD
Manchester United vs Liverpool 1:1 2017 - All Goals & Highlights (Premier League) 15/01/2017 HD
Manchester United vs Liverpool 1:1 2017 - All Goals & Highlights (Premier League) 15/01/2017 HD
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United 1-1 Liverpool Highlights 
Manchester United 1-1 Liverpool Highlights 
Manchester United 1-1 Liverpool All Goals 
Manchester United 1-1 Liverpool All Goals
Manchester United 1-1 Liverpool All Goals 
Manchester United 1-1 Liverpool All Goals
MANCHESTER UNITED 1-1 LIVERPOOL - MOURINHO vs KLOPP! - PREMIER LEAGUE 2016-17 - ANALYSIS",6,PT6M7S,0,66,none,"{u'description': u'Zlatan Ibrahimović All Goals | Manchester United 2016/2017 HD



Manchester United vs Liverpool 1-1 All Goals & Highlights Premier League 15/01/2017

Everton vs Manchester City 4-0 All Goals & Highlights Premier League 15/01/2017 HD

Manchester United vs Liverpool 1-1 All Goals & Highlights Manchester United vs Liverpool 1-1 All Goals & Highlights 
Manchester United vs Liverpool 1-1 All Goals & Highlights Manchester United vs Liverpool 1-1 All Goals & Highlights 
Manchester United vs Liverpool 1-1 All Goals & Highlights 
Zlatan Ibrahimović Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
Zlatan Ibrahimović Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
Zlatan Ibrahimović Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD

Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 Highlights 
Manchester United vs Liverpool 1-1 All Goals 
Manchester United vs Liverpool 1-1 All Goals 
Manchester United vs Liverpool 1-1 All Goals 
James Milner Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
James Milner Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
James Milner Goal - Manchester United vs Liverpool 1-1 Premier League 15/01/2017 HD
Goal Ibrahimovic Manchester United vs Liverpool 1-1 Goals & Highlights 15.01.2017
Goal Ibrahimovic Manchester United vs Liverpool 1-1 Goals & Highlights 15.01.2017
Goal Ibrahimovic Manchester United vs Liverpool 1-1 Goals & Highlights 15.01.2017
Manchester United 1-1 Liverpool All Goals & Extended Highlights Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Extended Highlights 
Manchester United 1-1 Liverpool All Goals & Highlights 
Manchester United 1-1 Liverpool All Goals & Highlights 
Manchester United 1-1 Liverpool All Goals & Highlights 
Manchester United vs Liverpool 1-1 17/10/2016 HD
Manchester United vs Liverpool 1-1 17/10/2016 HD
Manchester United vs Liverpool 1-1 17/10/2016 HD
Manchester United vs Liverpool 1:1 2017 - All Goals & Highlights (Premier League) 15/01/2017 HD
Manchester United vs Liverpool 1:1 2017 - All Goals & Highlights (Premier League) 15/01/2017 HD
Manchester United vs Liverpool 1:1 2017 - All Goals & Highlights (Premier League) 15/01/2017 HD
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United Vs Liverpool 1-1 All Goals & Extended Highlights - 720p - 15.01.17 
Manchester United 1-1 Liverpool Highlights 
Manchester United 1-1 Liverpool Highlights 
Manchester United 1-1 Liverpool All Goals 
Manchester United 1-1 Liverpool All Goals
Manchester United 1-1 Liverpool All Goals 
Manchester United 1-1 Liverpool All Goals
MANCHESTER UNITED 1-1 LIVERPOOL - MOURINHO vs KLOPP! - PREMIER LEAGUE 2016-17 - ANALYSIS', u'title': u'Zlatan Ibrahimović All Goals | Manchester United 2016/2017 HD'}",public,rectangular,False,2017-01-15T22:21:34.000Z,,"[Zlatan Ibrahimović All Goals | Manchester United 2016/2017 HD, Zlatan Ibrahimović All Goals, Manchester United 2016/2017, Manchester United vs Liverpool 1-1 Highlights, Zlatan Ibrahimovic Goal]",Zlatan Ibrahimović All Goals | Manchester United 2016/2017 HD,iVPIZtqeQNk,14051
9,,,,28773,213,17045787,,,,,,,,,,,,,,,,,,,
